variable,description
m14_2,Number of antenatal visits during pregnancy
m14_3,Number of antenatal visits during pregnancy
m14_4,Number of antenatal visits during pregnancy
m14_5,Number of antenatal visits during pregnancy
m14_6,Number of antenatal visits during pregnancy
m15_1,Place of delivery
m15_2,Place of delivery
m15_3,Place of delivery
m15_4,Place of delivery
m15_5,Place of delivery
m15_6,Place of delivery
m17_1,Delivery by caesarean section
m17_2,Delivery by caesarean section
m17_3,Delivery by caesarean section
m17_4,Delivery by caesarean section
m17_5,Delivery by caesarean section
m17_6,Delivery by caesarean section
m18_1,Size of child at birth
m18_2,Size of child at birth
m18_3,Size of child at birth
m18_4,Size of child at birth
m18_5,Size of child at birth
m18_6,Size of child at birth
m19_1,Birth weight in kilograms (3 decimals)
m19_2,Birth weight in kilograms (3 decimals)
m19_3,Birth weight in kilograms (3 decimals)
m19_4,Birth weight in kilograms (3 decimals)
m19_5,Birth weight in kilograms (3 decimals)
m19_6,Birth weight in kilograms (3 decimals)
m19a_1,Weight at birth/recall
m19a_2,Weight at birth/recall
m19a_3,Weight at birth/recall
m19a_4,Weight at birth/recall
m19a_5,Weight at birth/recall
m19a_6,Weight at birth/recall
m27_1,NA - Flag for breastfeeding
m27_2,NA - Flag for breastfeeding
m27_3,NA - Flag for breastfeeding
m27_4,NA - Flag for breastfeeding
m27_5,NA - Flag for breastfeeding
m27_6,NA - Flag for breastfeeding
m28_1,Flag for amenorrhea
m28_2,Flag for amenorrhea
m28_3,Flag for amenorrhea
m28_4,Flag for amenorrhea
m28_5,Flag for amenorrhea
m28_6,Flag for amenorrhea
m29_1,Flag for abstinence
m29_2,Flag for abstinence
m29_3,Flag for abstinence
m29_4,Flag for abstinence
m29_5,Flag for abstinence
m29_6,Flag for abstinence
m34_1,When child put to breast
m34_2,When child put to breast
m34_3,When child put to breast
m34_4,When child put to breast
m34_5,When child put to breast
m34_6,When child put to breast
m35_1,NA - Number of times breastfed during previous night
m35_2,NA - Number of times breastfed during previous night
m35_3,NA - Number of times breastfed during previous night
m35_4,NA - Number of times breastfed during previous night
m35_5,NA - Number of times breastfed during previous night
m35_6,NA - Number of times breastfed during previous night
m36_1,NA - Number of times breastfed during previous day
m36_2,NA - Number of times breastfed during previous day
m36_3,NA - Number of times breastfed during previous day
m36_4,NA - Number of times breastfed during previous day
m36_5,NA - Number of times breastfed during previous day
m36_6,NA - Number of times breastfed during previous day
m38_1,Drank from bottle with nipple yesterday/last night
m38_2,Drank from bottle with nipple yesterday/last night
m38_3,Drank from bottle with nipple yesterday/last night
m38_4,Drank from bottle with nipple yesterday/last night
m38_5,Drank from bottle with nipple yesterday/last night
m38_6,Drank from bottle with nipple yesterday/last night
m39a_1,"Did eat any solid, semi-solid or soft foods yesterday"
m39a_2,"Did eat any solid, semi-solid or soft foods yesterday"
m39a_3,"Did eat any solid, semi-solid or soft foods yesterday"
m39a_4,"Did eat any solid, semi-solid or soft foods yesterday"
m39a_5,"Did eat any solid, semi-solid or soft foods yesterday"
m39a_6,"Did eat any solid, semi-solid or soft foods yesterday"
m39_1,"Number of times ate solid, semi-solid or soft food yesterday"
m39_2,"Number of times ate solid, semi-solid or soft food yesterday"
m39_3,"Number of times ate solid, semi-solid or soft food yesterday"
m39_4,"Number of times ate solid, semi-solid or soft food yesterday"
m39_5,"Number of times ate solid, semi-solid or soft food yesterday"
m39_6,"Number of times ate solid, semi-solid or soft food yesterday"
m42a_1,During pregnancy: weighed
m42a_2,During pregnancy: weighed
m42a_3,During pregnancy: weighed
m42a_4,During pregnancy: weighed
m42a_5,During pregnancy: weighed
m42a_6,During pregnancy: weighed
m42b_1,During pregnancy: height measured
m42b_2,During pregnancy: height measured
m42b_3,During pregnancy: height measured
m42b_4,During pregnancy: height measured
m42b_5,During pregnancy: height measured
m42b_6,During pregnancy: height measured
m42c_1,During pregnancy: blood pressure taken
m42c_2,During pregnancy: blood pressure taken
m42c_3,During pregnancy: blood pressure taken
m42c_4,During pregnancy: blood pressure taken
m42c_5,During pregnancy: blood pressure taken
m42c_6,During pregnancy: blood pressure taken
m42d_1,During pregnancy: urine sample taken
m42d_2,During pregnancy: urine sample taken
m42d_3,During pregnancy: urine sample taken
m42d_4,During pregnancy: urine sample taken
m42d_5,During pregnancy: urine sample taken
m42d_6,During pregnancy: urine sample taken
m42e_1,During pregnancy: blood sample taken
m42e_2,During pregnancy: blood sample taken
m42e_3,During pregnancy: blood sample taken
m42e_4,During pregnancy: blood sample taken
m42e_5,During pregnancy: blood sample taken
m42e_6,During pregnancy: blood sample taken
m43_1,Told about pregnancy complications
m43_2,Told about pregnancy complications
m43_3,Told about pregnancy complications
m43_4,Told about pregnancy complications
m43_5,Told about pregnancy complications
m43_6,Told about pregnancy complications
m44_1,NA - Told where to go for pregnancy complications
m44_2,NA - Told where to go for pregnancy complications
m44_3,NA - Told where to go for pregnancy complications
m44_4,NA - Told where to go for pregnancy complications
m44_5,NA - Told where to go for pregnancy complications
m44_6,NA - Told where to go for pregnancy complications
m45_1,"During pregnancy, given or bought iron tablets/syrup"
m45_2,"During pregnancy, given or bought iron tablets/syrup"
m45_3,"During pregnancy, given or bought iron tablets/syrup"
m45_4,"During pregnancy, given or bought iron tablets/syrup"
m45_5,"During pregnancy, given or bought iron tablets/syrup"
m45_6,"During pregnancy, given or bought iron tablets/syrup"
m46_1,Days tablets or syrup taken
m46_2,Days tablets or syrup taken
m46_3,Days tablets or syrup taken
m46_4,Days tablets or syrup taken
m46_5,Days tablets or syrup taken
m46_6,Days tablets or syrup taken
m47_1,"NA - During pregnancy, had difficulty with daylight vision"
m47_2,"NA - During pregnancy, had difficulty with daylight vision"
m47_3,"NA - During pregnancy, had difficulty with daylight vision"
m47_4,"NA - During pregnancy, had difficulty with daylight vision"
m47_5,"NA - During pregnancy, had difficulty with daylight vision"
m47_6,"NA - During pregnancy, had difficulty with daylight vision"
m48_1,"NA - During pregnancy, had difficulty with night blindness"
m48_2,"NA - During pregnancy, had difficulty with night blindness"
m48_3,"NA - During pregnancy, had difficulty with night blindness"
m48_4,"NA - During pregnancy, had difficulty with night blindness"
m48_5,"NA - During pregnancy, had difficulty with night blindness"
m48_6,"NA - During pregnancy, had difficulty with night blindness"
m49a_1,During pregnancy took: SP/fansidar for malaria
m49a_2,During pregnancy took: SP/fansidar for malaria
m49a_3,During pregnancy took: SP/fansidar for malaria
m49a_4,During pregnancy took: SP/fansidar for malaria
m49a_5,During pregnancy took: SP/fansidar for malaria
m49a_6,During pregnancy took: SP/fansidar for malaria
m49b_1,During pregnancy took: chloroquine for malaria
m49b_2,During pregnancy took: chloroquine for malaria
m49b_3,During pregnancy took: chloroquine for malaria
m49b_4,During pregnancy took: chloroquine for malaria
m49b_5,During pregnancy took: chloroquine for malaria
m49b_6,During pregnancy took: chloroquine for malaria
m49c_1,During pregnancy took: quinine drug for malaria
m49c_2,During pregnancy took: quinine drug for malaria
m49c_3,During pregnancy took: quinine drug for malaria
m49c_4,During pregnancy took: quinine drug for malaria
m49c_5,During pregnancy took: quinine drug for malaria
m49c_6,During pregnancy took: quinine drug for malaria
m49d_1,NA - During pregnancy took: CS drug for malaria
m49d_2,NA - During pregnancy took: CS drug for malaria
m49d_3,NA - During pregnancy took: CS drug for malaria
m49d_4,NA - During pregnancy took: CS drug for malaria
m49d_5,NA - During pregnancy took: CS drug for malaria
m49d_6,NA - During pregnancy took: CS drug for malaria
m49e_1,NA - During pregnancy took: CS drug for malaria
m49e_2,NA - During pregnancy took: CS drug for malaria
m49e_3,NA - During pregnancy took: CS drug for malaria
m49e_4,NA - During pregnancy took: CS drug for malaria
m49e_5,NA - During pregnancy took: CS drug for malaria
m49e_6,NA - During pregnancy took: CS drug for malaria
m49f_1,NA - During pregnancy took: CS drug for malaria
m49f_2,NA - During pregnancy took: CS drug for malaria
m49f_3,NA - During pregnancy took: CS drug for malaria
m49f_4,NA - During pregnancy took: CS drug for malaria
m49f_5,NA - During pregnancy took: CS drug for malaria
m49f_6,NA - During pregnancy took: CS drug for malaria
m49g_1,NA - During pregnancy took: CS drug for malaria
m49g_2,NA - During pregnancy took: CS drug for malaria
m49g_3,NA - During pregnancy took: CS drug for malaria
m49g_4,NA - During pregnancy took: CS drug for malaria
m49g_5,NA - During pregnancy took: CS drug for malaria
m49g_6,NA - During pregnancy took: CS drug for malaria
m49x_1,During pregnancy took: other drug for malaria
m49x_2,During pregnancy took: other drug for malaria
m49x_3,During pregnancy took: other drug for malaria
m49x_4,During pregnancy took: other drug for malaria
m49x_5,During pregnancy took: other drug for malaria
m49x_6,During pregnancy took: other drug for malaria
m49z_1,During pregnancy took: don't know
m49z_2,During pregnancy took: don't know
m49z_3,During pregnancy took: don't know
m49z_4,During pregnancy took: don't know
m49z_5,During pregnancy took: don't know
m49z_6,During pregnancy took: don't know
m49y_1,During pregnancy took: no drug for malaria
m49y_2,During pregnancy took: no drug for malaria
m49y_3,During pregnancy took: no drug for malaria
m49y_4,During pregnancy took: no drug for malaria
m49y_5,During pregnancy took: no drug for malaria
m49y_6,During pregnancy took: no drug for malaria
m50_1,Respondent's check up after delivery
m50_2,Respondent's check up after delivery
m50_3,Respondent's check up after delivery
m50_4,Respondent's check up after delivery
m50_5,Respondent's check up after delivery
m50_6,Respondent's check up after delivery
m51_1,Respondent's checkup after deliver timing
m51_2,Respondent's checkup after deliver timing
m51_3,Respondent's checkup after deliver timing
m51_4,Respondent's checkup after deliver timing
m51_5,Respondent's checkup after deliver timing
m51_6,Respondent's checkup after deliver timing
m52_1,Respondent's health professional checked up after delivery
m52_2,Respondent's health professional checked up after delivery
m52_3,Respondent's health professional checked up after delivery
m52_4,Respondent's health professional checked up after delivery
m52_5,Respondent's health professional checked up after delivery
m52_6,Respondent's health professional checked up after delivery
m54_1,Received Vitamin A dose in first 2 months after delivery
m54_2,Received Vitamin A dose in first 2 months after delivery
m54_3,Received Vitamin A dose in first 2 months after delivery
m54_4,Received Vitamin A dose in first 2 months after delivery
m54_5,Received Vitamin A dose in first 2 months after delivery
m54_6,Received Vitamin A dose in first 2 months after delivery
m55a_1,"First 3 days, given milk (other than breast milk)"
m55a_2,"First 3 days, given milk (other than breast milk)"
m55a_3,"First 3 days, given milk (other than breast milk)"
m55a_4,"First 3 days, given milk (other than breast milk)"
m55a_5,"First 3 days, given milk (other than breast milk)"
m55a_6,"First 3 days, given milk (other than breast milk)"
m55b_1,"First 3 days, given plain water"
m55b_2,"First 3 days, given plain water"
m55b_3,"First 3 days, given plain water"
m55b_4,"First 3 days, given plain water"
m55b_5,"First 3 days, given plain water"
m55b_6,"First 3 days, given plain water"
m55c_1,"First 3 days, given sugar/glucose water"
m55c_2,"First 3 days, given sugar/glucose water"
m55c_3,"First 3 days, given sugar/glucose water"
m55c_4,"First 3 days, given sugar/glucose water"
m55c_5,"First 3 days, given sugar/glucose water"
m55c_6,"First 3 days, given sugar/glucose water"
m55d_1,"First 3 days, given gripe water"
m55d_2,"First 3 days, given gripe water"
m55d_3,"First 3 days, given gripe water"
m55d_4,"First 3 days, given gripe water"
m55d_5,"First 3 days, given gripe water"
m55d_6,"First 3 days, given gripe water"
m55e_1,"First 3 days, given sugar/salt solution"
m55e_2,"First 3 days, given sugar/salt solution"
m55e_3,"First 3 days, given sugar/salt solution"
m55e_4,"First 3 days, given sugar/salt solution"
m55e_5,"First 3 days, given sugar/salt solution"
m55e_6,"First 3 days, given sugar/salt solution"
m55f_1,"First 3 days, given fruit juice"
m55f_2,"First 3 days, given fruit juice"
m55f_3,"First 3 days, given fruit juice"
m55f_4,"First 3 days, given fruit juice"
m55f_5,"First 3 days, given fruit juice"
m55f_6,"First 3 days, given fruit juice"
m55g_1,"First 3 days, given infant formula"
m55g_2,"First 3 days, given infant formula"
m55g_3,"First 3 days, given infant formula"
m55g_4,"First 3 days, given infant formula"
m55g_5,"First 3 days, given infant formula"
m55g_6,"First 3 days, given infant formula"
m55h_1,"First 3 days, given tea/infusions"
m55h_2,"First 3 days, given tea/infusions"
m55h_3,"First 3 days, given tea/infusions"
m55h_4,"First 3 days, given tea/infusions"
m55h_5,"First 3 days, given tea/infusions"
m55h_6,"First 3 days, given tea/infusions"
m55i_1,"First 3 days, given honey"
m55i_2,"First 3 days, given honey"
m55i_3,"First 3 days, given honey"
m55i_4,"First 3 days, given honey"
m55i_5,"First 3 days, given honey"
m55i_6,"First 3 days, given honey"
m55j_1,"First 3 days, given coffee"
m55j_2,"First 3 days, given coffee"
m55j_3,"First 3 days, given coffee"
m55j_4,"First 3 days, given coffee"
m55j_5,"First 3 days, given coffee"
m55j_6,"First 3 days, given coffee"
m55k_1,"NA - First 3 days, given country specific"
m55k_2,"NA - First 3 days, given country specific"
m55k_3,"NA - First 3 days, given country specific"
m55k_4,"NA - First 3 days, given country specific"
m55k_5,"NA - First 3 days, given country specific"
m55k_6,"NA - First 3 days, given country specific"
m55l_1,"NA - First 3 days, given country specific"
m55l_2,"NA - First 3 days, given country specific"
m55l_3,"NA - First 3 days, given country specific"
m55l_4,"NA - First 3 days, given country specific"
m55l_5,"NA - First 3 days, given country specific"
m55l_6,"NA - First 3 days, given country specific"
m55m_1,"NA - First 3 days, given country specific"
m55m_2,"NA - First 3 days, given country specific"
m55m_3,"NA - First 3 days, given country specific"
m55m_4,"NA - First 3 days, given country specific"
m55m_5,"NA - First 3 days, given country specific"
m55m_6,"NA - First 3 days, given country specific"
m55n_1,"NA - First 3 days, given country specific"
m55n_2,"NA - First 3 days, given country specific"
m55n_3,"NA - First 3 days, given country specific"
m55n_4,"NA - First 3 days, given country specific"
m55n_5,"NA - First 3 days, given country specific"
m55n_6,"NA - First 3 days, given country specific"
m55o_1,"NA - First 3 days, given country specific"
m55o_2,"NA - First 3 days, given country specific"
m55o_3,"NA - First 3 days, given country specific"
m55o_4,"NA - First 3 days, given country specific"
m55o_5,"NA - First 3 days, given country specific"
m55o_6,"NA - First 3 days, given country specific"
m55x_1,"First 3 days, given other"
m55x_2,"First 3 days, given other"
m55x_3,"First 3 days, given other"
m55x_4,"First 3 days, given other"
m55x_5,"First 3 days, given other"
m55x_6,"First 3 days, given other"
m55z_1,"First 3 days, given nothing"
m55z_2,"First 3 days, given nothing"
m55z_3,"First 3 days, given nothing"
m55z_4,"First 3 days, given nothing"
m55z_5,"First 3 days, given nothing"
m55z_6,"First 3 days, given nothing"
m57a_1,Antenatal care: respondent's home
m57a_2,Antenatal care: respondent's home
m57a_3,Antenatal care: respondent's home
m57a_4,Antenatal care: respondent's home
m57a_5,Antenatal care: respondent's home
m57a_6,Antenatal care: respondent's home
m57b_1,Antenatal care: other home
m57b_2,Antenatal care: other home
m57b_3,Antenatal care: other home
m57b_4,Antenatal care: other home
m57b_5,Antenatal care: other home
m57b_6,Antenatal care: other home
m57c_1,NA - Antenatal care: CS home
m57c_2,NA - Antenatal care: CS home
m57c_3,NA - Antenatal care: CS home
m57c_4,NA - Antenatal care: CS home
m57c_5,NA - Antenatal care: CS home
m57c_6,NA - Antenatal care: CS home
m57d_1,NA - Antenatal care: CS home
m57d_2,NA - Antenatal care: CS home
m57d_3,NA - Antenatal care: CS home
m57d_4,NA - Antenatal care: CS home
m57d_5,NA - Antenatal care: CS home
m57d_6,NA - Antenatal care: CS home
m57e_1,Antenatal care: government hospital
m57e_2,Antenatal care: government hospital
m57e_3,Antenatal care: government hospital
m57e_4,Antenatal care: government hospital
m57e_5,Antenatal care: government hospital
m57e_6,Antenatal care: government hospital
m57f_1,Antenatal care: govt. health post
m57f_2,Antenatal care: govt. health post
m57f_3,Antenatal care: govt. health post
m57f_4,Antenatal care: govt. health post
m57f_5,Antenatal care: govt. health post
m57f_6,Antenatal care: govt. health post
m57g_1,Antenatal care: health post
m57g_2,Antenatal care: health post
m57g_3,Antenatal care: health post
m57g_4,Antenatal care: health post
m57g_5,Antenatal care: health post
m57g_6,Antenatal care: health post
m57h_1,Antenatal care: other public
m57h_2,Antenatal care: other public
m57h_3,Antenatal care: other public
m57h_4,Antenatal care: other public
m57h_5,Antenatal care: other public
m57h_6,Antenatal care: other public
m57i_1,NA - Antenatal care: CS public health
m57i_2,NA - Antenatal care: CS public health
m57i_3,NA - Antenatal care: CS public health
m57i_4,NA - Antenatal care: CS public health
m57i_5,NA - Antenatal care: CS public health
m57i_6,NA - Antenatal care: CS public health
m57j_1,NA - Antenatal care: CS public health
m57j_2,NA - Antenatal care: CS public health
m57j_3,NA - Antenatal care: CS public health
m57j_4,NA - Antenatal care: CS public health
m57j_5,NA - Antenatal care: CS public health
m57j_6,NA - Antenatal care: CS public health
m57k_1,NA - Antenatal care: CS public health
m57k_2,NA - Antenatal care: CS public health
m57k_3,NA - Antenatal care: CS public health
m57k_4,NA - Antenatal care: CS public health
m57k_5,NA - Antenatal care: CS public health
m57k_6,NA - Antenatal care: CS public health
m57l_1,NA - Antenatal care: CS public health
m57l_2,NA - Antenatal care: CS public health
m57l_3,NA - Antenatal care: CS public health
m57l_4,NA - Antenatal care: CS public health
m57l_5,NA - Antenatal care: CS public health
m57l_6,NA - Antenatal care: CS public health
m57m_1,Antenatal care: private hospital/clinic
m57m_2,Antenatal care: private hospital/clinic
m57m_3,Antenatal care: private hospital/clinic
m57m_4,Antenatal care: private hospital/clinic
m57m_5,Antenatal care: private hospital/clinic
m57m_6,Antenatal care: private hospital/clinic
m57n_1,Antenatal care: other private
m57n_2,Antenatal care: other private
m57n_3,Antenatal care: other private
m57n_4,Antenatal care: other private
m57n_5,Antenatal care: other private
m57n_6,Antenatal care: other private
m57o_1,NA - Antenatal care: CS private medical
m57o_2,NA - Antenatal care: CS private medical
m57o_3,NA - Antenatal care: CS private medical
m57o_4,NA - Antenatal care: CS private medical
m57o_5,NA - Antenatal care: CS private medical
m57o_6,NA - Antenatal care: CS private medical
m57p_1,NA - Antenatal care: CS private medical
m57p_2,NA - Antenatal care: CS private medical
m57p_3,NA - Antenatal care: CS private medical
m57p_4,NA - Antenatal care: CS private medical
m57p_5,NA - Antenatal care: CS private medical
m57p_6,NA - Antenatal care: CS private medical
m57q_1,NA - Antenatal care: CS private medical
m57q_2,NA - Antenatal care: CS private medical
m57q_3,NA - Antenatal care: CS private medical
m57q_4,NA - Antenatal care: CS private medical
m57q_5,NA - Antenatal care: CS private medical
m57q_6,NA - Antenatal care: CS private medical
m57r_1,NA - Antenatal care: CS private medical
m57r_2,NA - Antenatal care: CS private medical
m57r_3,NA - Antenatal care: CS private medical
m57r_4,NA - Antenatal care: CS private medical
m57r_5,NA - Antenatal care: CS private medical
m57r_6,NA - Antenatal care: CS private medical
m57s_1,NA - Antenatal care: CS other
m57s_2,NA - Antenatal care: CS other
m57s_3,NA - Antenatal care: CS other
m57s_4,NA - Antenatal care: CS other
m57s_5,NA - Antenatal care: CS other
m57s_6,NA - Antenatal care: CS other
m57t_1,NA - Antenatal care: CS other
m57t_2,NA - Antenatal care: CS other
m57t_3,NA - Antenatal care: CS other
m57t_4,NA - Antenatal care: CS other
m57t_5,NA - Antenatal care: CS other
m57t_6,NA - Antenatal care: CS other
m57u_1,NA - Antenatal care: CS other
m57u_2,NA - Antenatal care: CS other
m57u_3,NA - Antenatal care: CS other
m57u_4,NA - Antenatal care: CS other
m57u_5,NA - Antenatal care: CS other
m57u_6,NA - Antenatal care: CS other
m57v_1,NA - Antenatal care: CS other
m57v_2,NA - Antenatal care: CS other
m57v_3,NA - Antenatal care: CS other
m57v_4,NA - Antenatal care: CS other
m57v_5,NA - Antenatal care: CS other
m57v_6,NA - Antenatal care: CS other
m57x_1,Antenatal care: other
m57x_2,Antenatal care: other
m57x_3,Antenatal care: other
m57x_4,Antenatal care: other
m57x_5,Antenatal care: other
m57x_6,Antenatal care: other
m60_1,Drugs for intestinal parasites during pregnancy
m60_2,Drugs for intestinal parasites during pregnancy
m60_3,Drugs for intestinal parasites during pregnancy
m60_4,Drugs for intestinal parasites during pregnancy
m60_5,Drugs for intestinal parasites during pregnancy
m60_6,Drugs for intestinal parasites during pregnancy
m61_1,Time spent at place of delivery
m61_2,Time spent at place of delivery
m61_3,Time spent at place of delivery
m61_4,Time spent at place of delivery
m61_5,Time spent at place of delivery
m61_6,Time spent at place of delivery
m62_1,Respondent's health checked before discharge
m62_2,Respondent's health checked before discharge
m62_3,Respondent's health checked before discharge
m62_4,Respondent's health checked before discharge
m62_5,Respondent's health checked before discharge
m62_6,Respondent's health checked before discharge
m65a_1,NA - Reason didn't deliver at health facility: cost too much
m65a_2,NA - Reason didn't deliver at health facility: cost too much
m65a_3,NA - Reason didn't deliver at health facility: cost too much
m65a_4,NA - Reason didn't deliver at health facility: cost too much
m65a_5,NA - Reason didn't deliver at health facility: cost too much
m65a_6,NA - Reason didn't deliver at health facility: cost too much
m65b_1,NA - Reason didn't deliver at health facility: facility not open
m65b_2,NA - Reason didn't deliver at health facility: facility not open
m65b_3,NA - Reason didn't deliver at health facility: facility not open
m65b_4,NA - Reason didn't deliver at health facility: facility not open
m65b_5,NA - Reason didn't deliver at health facility: facility not open
m65b_6,NA - Reason didn't deliver at health facility: facility not open
m65c_1,NA - Reason didn't deliver at health facility: too far/no transport
m65c_2,NA - Reason didn't deliver at health facility: too far/no transport
m65c_3,NA - Reason didn't deliver at health facility: too far/no transport
m65c_4,NA - Reason didn't deliver at health facility: too far/no transport
m65c_5,NA - Reason didn't deliver at health facility: too far/no transport
m65c_6,NA - Reason didn't deliver at health facility: too far/no transport
m65d_1,NA - Reason didn't deliver at health facility: don't trust facility/poor service
m65d_2,NA - Reason didn't deliver at health facility: don't trust facility/poor service
m65d_3,NA - Reason didn't deliver at health facility: don't trust facility/poor service
m65d_4,NA - Reason didn't deliver at health facility: don't trust facility/poor service
m65d_5,NA - Reason didn't deliver at health facility: don't trust facility/poor service
m65d_6,NA - Reason didn't deliver at health facility: don't trust facility/poor service
m65e_1,NA - Reason didn't deliver at health facility: no female provider
m65e_2,NA - Reason didn't deliver at health facility: no female provider
m65e_3,NA - Reason didn't deliver at health facility: no female provider
m65e_4,NA - Reason didn't deliver at health facility: no female provider
m65e_5,NA - Reason didn't deliver at health facility: no female provider
m65e_6,NA - Reason didn't deliver at health facility: no female provider
m65f_1,NA - Reason didn't deliver at health facility: husband/family didn't allow
m65f_2,NA - Reason didn't deliver at health facility: husband/family didn't allow
m65f_3,NA - Reason didn't deliver at health facility: husband/family didn't allow
m65f_4,NA - Reason didn't deliver at health facility: husband/family didn't allow
m65f_5,NA - Reason didn't deliver at health facility: husband/family didn't allow
m65f_6,NA - Reason didn't deliver at health facility: husband/family didn't allow
m65g_1,NA - Reason didn't deliver at health facility: not necessary
m65g_2,NA - Reason didn't deliver at health facility: not necessary
m65g_3,NA - Reason didn't deliver at health facility: not necessary
m65g_4,NA - Reason didn't deliver at health facility: not necessary
m65g_5,NA - Reason didn't deliver at health facility: not necessary
m65g_6,NA - Reason didn't deliver at health facility: not necessary
m65h_1,NA - Reason didn't deliver at health facility: not customary
m65h_2,NA - Reason didn't deliver at health facility: not customary
m65h_3,NA - Reason didn't deliver at health facility: not customary
m65h_4,NA - Reason didn't deliver at health facility: not customary
m65h_5,NA - Reason didn't deliver at health facility: not customary
m65h_6,NA - Reason didn't deliver at health facility: not customary
m65i_1,NA - Reason didn't deliver at health facility: CS
m65i_2,NA - Reason didn't deliver at health facility: CS
m65i_3,NA - Reason didn't deliver at health facility: CS
m65i_4,NA - Reason didn't deliver at health facility: CS
m65i_5,NA - Reason didn't deliver at health facility: CS
m65i_6,NA - Reason didn't deliver at health facility: CS
m65j_1,NA - Reason didn't deliver at health facility: CS
m65j_2,NA - Reason didn't deliver at health facility: CS
m65j_3,NA - Reason didn't deliver at health facility: CS
m65j_4,NA - Reason didn't deliver at health facility: CS
m65j_5,NA - Reason didn't deliver at health facility: CS
m65j_6,NA - Reason didn't deliver at health facility: CS
m65k_1,NA - Reason didn't deliver at health facility: CS
m65k_2,NA - Reason didn't deliver at health facility: CS
m65k_3,NA - Reason didn't deliver at health facility: CS
m65k_4,NA - Reason didn't deliver at health facility: CS
m65k_5,NA - Reason didn't deliver at health facility: CS
m65k_6,NA - Reason didn't deliver at health facility: CS
m65l_1,NA - Reason didn't deliver at health facility: CS
m65l_2,NA - Reason didn't deliver at health facility: CS
m65l_3,NA - Reason didn't deliver at health facility: CS
m65l_4,NA - Reason didn't deliver at health facility: CS
m65l_5,NA - Reason didn't deliver at health facility: CS
m65l_6,NA - Reason didn't deliver at health facility: CS
m65x_1,NA - Reason didn't deliver at health facility: other
m65x_2,NA - Reason didn't deliver at health facility: other
m65x_3,NA - Reason didn't deliver at health facility: other
m65x_4,NA - Reason didn't deliver at health facility: other
m65x_5,NA - Reason didn't deliver at health facility: other
m65x_6,NA - Reason didn't deliver at health facility: other
m66_1,Respondent's health checked after discharge/delivery at home
m66_2,Respondent's health checked after discharge/delivery at home
m66_3,Respondent's health checked after discharge/delivery at home
m66_4,Respondent's health checked after discharge/delivery at home
m66_5,Respondent's health checked after discharge/delivery at home
m66_6,Respondent's health checked after discharge/delivery at home
m70_1,Baby postnatal check within 2 months
m70_2,Baby postnatal check within 2 months
m70_3,Baby postnatal check within 2 months
m70_4,Baby postnatal check within 2 months
m70_5,Baby postnatal check within 2 months
m70_6,Baby postnatal check within 2 months
m71_1,Time after delivery postnatal check took place
m71_2,Time after delivery postnatal check took place
m71_3,Time after delivery postnatal check took place
m71_4,Time after delivery postnatal check took place
m71_5,Time after delivery postnatal check took place
m71_6,Time after delivery postnatal check took place
m72_1,Person who performed postnatal checkup
m72_2,Person who performed postnatal checkup
m72_3,Person who performed postnatal checkup
m72_4,Person who performed postnatal checkup
m72_5,Person who performed postnatal checkup
m72_6,Person who performed postnatal checkup
m73_1,Place baby was first checked
m73_2,Place baby was first checked
m73_3,Place baby was first checked
m73_4,Place baby was first checked
m73_5,Place baby was first checked
m73_6,Place baby was first checked
v401,Last birth a caesarean section
v404,Currently breastfeeding
v405,Currently amenorrheic
v406,Currently abstaining
v407,NA - Number of times breastfed during night
v408,NA - Number of times breastfed during day
v409,Gave child plain water
v409a,NA - Gave child sugar water
v410,Gave child juice
v410a,NA - Gave child tea or coffee
v411,"Gave child tinned, powdered or fresh milk"
v411a,Gave child baby formula
v412,NA - Gave child fresh milk
v412a,"Gave child fortified baby food (cerelac, etc)"
v412b,NA - Gave child other porridge/gruel
v412c,Gave child soup/clear broth
v413,Gave child other liquid
v413a,NA - Gave child CS liquid
v413b,NA - Gave child CS liquid
v413c,NA - Gave child CS liquid
v413d,NA - Gave child CS liquid
v414a,NA - Gave child CS foods
v414b,NA - Gave child CS foods
v414c,NA - Gave child CS foods
v414d,NA - Gave child CS foods
v414e,"Gave child bread, noodles, other made from grains"
v414f,"Gave child potatoes, cassava, or other tubers"
v414g,Gave child eggs
v414h,"Gave child meat (beef, pork, lamb, chicken, etc)"
v414i,"Gave child pumpkin, carrots, squash (yellow or orange inside)"
v414j,Gave child any dark green leafy vegetables
v414k,"Gave child mangoes, papayas, other vitamin A fruits"
v414l,Gave child any other fruits
v414m,"Gave child liver, heart, other organs"
v414n,Gave child fish or shellfish
v414o,"Gave child food made from beans, peas, lentils, nuts"
v414p,"Gave child cheese, yogurt, other milk products"
v414q,"NA - Gave child oil, fats, butter, products made of them"
v414r,"NA - Gave child chocolates, sweets, candies, pastries, etc"
v414s,Gave child other solid-semisolid food
v414t,NA - Gave child CS foods
v414u,NA - Gave child CS foods
v414v,Gave child yogurt
v414w,NA - Gave child CS foods
v415,Drank from bottle with nipple yesterday/last night
v416,Heard of oral rehydration
v417,Entries in maternity table
v418,Entries in health table
v419,Entries in height/weight table
v420,NA - Measurer's code
v421,NA - Assistant measurer's code
v426,When child put to breast
v437,Respondent's weight in kilograms (1 decimal)
v438,Respondent's height in centimeters (1 decimal)
v439,Height/Age percentile
