variable,description
v414q,"NA - Gave child oil, fats, butter, products made of them"
v414r,"NA - Gave child chocolates, sweets, candies, pastries, etc"
v414s,Gave child other solid-semisolid food
v414t,NA - Gave child CS foods
v414u,NA - Gave child CS foods
v414v,Gave child yogurt
v414w,NA - Gave child CS foods
v415,Drank from bottle with nipple yesterday/last night
v416,Heard of oral rehydration
v417,Entries in maternity table
v418,Entries in health table
v419,Entries in height/weight table
v420,NA - Measurer's code
v421,NA - Assistant measurer's code
v426,When child put to breast
v437,Respondent's weight in kilograms (1 decimal)
v438,Respondent's height in centimeters (1 decimal)
v439,Height/Age percentile
v440,Height/Age standard deviation
v441,Height/Age percent ref. median
v442,Weight/Height percent ref. median (DHS)
v443,Weight/Height percent ref. median (Fog)
v444,Weight/Height percent ref. median (WHO)
v444a,Weight/Height standard deviation (DHS)
v445,Body Mass Index
v446,Rohrer's index
v447,Result of measurement - height/weight
v447a,Women's age in years (from household questionnaire)
v452a,Under age 18 (from household questionnaire)
v452b,Line number of parent/caretaker
v452c,Read consent statement - hemoglobin
v453,Hemoglobin level (g/dl - 1 decimal)
v454,Currently pregnant (from household questionnaire)
v455,Result of measurement - hemoglobin
v456,Hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
v457,Anemia level
v458,NA - Agrees to referral - anemia
v459,Have mosquito bed net for sleeping (from household questionnaire)
v460,Children under 5 slept under mosquito bed net last night (household questionnaire)
v461,Respondent slept under mosquito bed net
v462,NA - Washed hands before preparing last meal
v463a,Smokes cigarettes
v463b,Smokes pipe
v463c,Uses chewing tobacco
v463d,Uses snuff
v463e,Smokes cigars/natural tobacco wrapped by hand
v463f,NA - Smokes country specific
v463g,NA - Smokes country specific
v463x,Smokes other
v463z,Does not use tobacco
v464,Number of cigarettes in last 24 hours
v465,Disposal of youngest child's stools when not using toilet
v466,"NA - When child is seriously ill, can decide whether medical treatment sought"
v467a,NA - Getting medical help for self: know where to go
v467b,Getting medical help for self: getting permission to go
v467c,Getting medical help for self: getting money needed for treatment
v467d,Getting medical help for self: distance to health facility
v467e,NA - Getting medical help for self: having to take transport
v467f,Getting medical help for self: not wanting to go alone
v467g,NA - Getting medical help for self: concern no female health provider
v467h,NA - Getting medical help for self: concern no provider
v467i,NA - Getting medical help for self: concern no drugs available
v467j,NA - Getting medical help for self: CS
v467k,NA - Getting medical help for self: CS
v467l,NA - Getting medical help for self: CS
v467m,NA - Getting medical help for self: CS
v468,Record for Last Birth
v469e,Times gave child powdered/tinned/fresh milk
v469f,Times gave child infant formula
v469x,Times gave child yogurt
v471a,"NA - Mother had tinned, powdered or fresh milk"
v471b,NA - Mother had tea or coffee
v471c,NA - Mother had any other liquid
v471d,NA - Mother had CS liquid
v471e,NA - Mother had CS liquid
v471f,NA - Mother had CS liquid
v471g,NA - Mother had CS liquid
v472a,NA - Mother had CS foods
v472b,NA - Mother had CS foods
v472c,NA - Mother had CS foods
v472d,NA - Mother had CS foods
v472e,"NA - Mother had bread, noodles, other made from grains"
v472f,"NA - Mother had potatoes, cassava, or other tubers"
v472g,NA - Mother had eggs
v472h,"NA - Mother had meat (beef, pork, lamb, chicken, etc)"
v472i,"NA - Mother had pumpkin, carrots, squash (yellow or orange inside)"
v472j,NA - Mother had any dark green leafy vegetables
v472k,"NA - Mother had mangoes, papayas, other vitamin A fruits"
v472l,NA - Mother had any other fruits
v472m,"NA - Mother had liver, heart, other organs"
v472n,NA - Mother had fish or shellfish
v472o,"NA - Mother had food made from beans, peas, lentils, nuts"
v472p,"NA - Mother had cheese, yogurt, other milk products"
v472q,"NA - Mother had oil, fats, butter, products made of them"
v472r,"NA - Mother had chocolates, sweets, candies, pastries, etc"
v472s,NA - Mother had other solid-semisolid food
v472t,NA - Mother had CS foods
v472u,NA - Mother had CS foods
v473a,Read consent statement - HIV
v473b,Result of measurement - HIV
v474,NA - Heard of tuberculosis or TB
v474a,NA - Tuberculosis spread by: air when coughing or sneezing
v474b,NA - Tuberculosis spread by: sharing utensils
v474c,NA - Tuberculosis spread by: touching a person with TB
v474d,NA - Tuberculosis spread by: food
v474e,NA - Tuberculosis spread by: sexual contact
v474f,NA - Tuberculosis spread by: mosquito bites
v474g,NA - Tuberculosis spread by: CS
v474h,NA - Tuberculosis spread by: CS
v474i,NA - Tuberculosis spread by: CS
v474j,NA - Tuberculosis spread by: CS
v474x,NA - Tuberculosis spread by: other
v474z,NA - Tuberculosis spread by: don't know
v475,NA - Tuberculosis can be cured
v476,NA - Keep secret when family member gets TB
v477,Number of injections in last 12 months
v478,Number of injections administered by a health worker
v479,NA - Place of injection by health worker
v480,"Syringe and needle from new, unopened package"
v481,Covered by health insurance
v481a,Health insurance type: mutual/community organization
v481b,Health insurance type: provided by employer
v481c,Health insurance type: social security
v481d,Health insurance type: private/commercially purchased
v481e,NA - Health insurance type: CS
v481f,NA - Health insurance type: CS
v481g,NA - Health insurance type: CS
v481h,NA - Health insurance type: CS
v481x,Health insurance type: other
v482a,NA - Arrange care of biological children under age 18
v482b,NA - Primary caregiver of children under age 18
v482c,NA - Arrange care of non-biological children < 18
v501,Current marital status
v502,Currently/formerly/never in union
v503,Number of unions
v504,Currently residing with husband/partner
v505,Number of other wives
v506,Respondent's rank among wives
v507,Month of first cohabitation
v508,Year of first cohabitation
v509,Date of first cohabitation (CMC)
v510,Completeness of date information in V509
v511,Age at first cohabitation
v512,Years since first cohabitation
v513,Cohabitation duration (grouped)
v525,Age at first sex
v527,Time since last sex
v528,Time since last sex (in days)
v529,Time since last sex (in months)
v530,Flag for V529
v531,Age at first sex (imputed)
v532,Flag for V531
v535,Ever been married or in union
v536,Recent sexual activity
v537,Months of abstinence
v538,NA - How previous marriage or union ended
v539,NA - Person who received most of late husband's property
v540,NA - Respondent received any of late husband's assets or valuables
v541,NA - Intends to wait until marriage to have sex
mv501,Current marital status
mv502,Currently/formerly/never in union
mv503,Number of unions
mv504,Currently residing with wife/partner
mv505,Number of wives/partners
mv507,Month of first cohabitation
mv508,Year of first cohabitation
mv509,Date of first cohabitation (CMC)
mv510,Completeness of date information in MV509
mv511,Age at first cohabitation
mv512,Years since first cohabitation
mv513,Cohabitation duration (grouped)
mv525,Age at first sex
mv527,Time since last sex
mv528,Time since last sex (in days)
mv529,Time since last sex (in months)
mv531,Age at first sex (imputed)
mv532,Flag for MV531
mv535,Ever been married or in union
mv536,Recent sexual activity
mv541,NA - Intends to wait until marriage to have sex
v602,Fertility preference
v603,Preferred waiting time for birth of a/another child
v604,Preferred waiting time for birth of a/another child (grouped)
v605,Desire for more children
v613,Ideal number of children
v614,Ideal number of children (grouped)
v616,Time for future birth
v621,Husband's desire for children
v623,Exposure
v624,Unmet need
v625,Exposure (definition 2)
v626,Unmet need (definition 2)
v625a,Exposure to need for contraception (definition 3)
v626a,Unmet need for contraception (definition 3)
v627,Ideal number of boys
v628,Ideal number of girls
v629,Ideal number of either sex
v631,NA - Problem if became pregnant
v632,Decision maker for using contraception
v633a,NA - Reason for not having sex: husband has STI
v633b,Reason for not having sex: husband has other women
v633c,NA - Reason for not having sex: recent birth
v633d,"NA - Reason for not having sex: tired, not in mood"
v633e,NA - Reason for not having sex: CS
v633f,NA - Reason for not having sex: CS
v633g,NA - Reason for not having sex: CS
v634,NA - Husband knows that respondent is using contraception
mv602,Fertility preference
mv603,Preferred waiting time for birth of a/another child
mv604,Preferred waiting time for birth of a/another child (grouped)
mv605,Desire for more children
mv613,Ideal number of children
mv614,Ideal number of children (grouped)
mv616,Desired time for future birth
mv621,NA - Wife's desire for children***
mv627,Ideal number of boys
mv628,Ideal number of girls
mv629,Ideal number of either sex
mv631,NA - Problem if wife became pregnant***
mv633a,NA - Wife justified refusing sex: husband has STI
mv633b,Wife justified refusing sex: husband has other women
mv633c,NA - Wife justified refusing sex: recent birth
mv633d,"NA - Wife justified refusing sex: tired, not in mood"
mv633e,NA - Wife justified refusing sex: CS reason
mv633f,NA - Wife justified refusing sex: CS reason
mv633g,NA - Wife justified refusing sex: CS reason
mv634a,"NA - Wife refuses to have sex, husband has right to: get angry"
mv634b,"NA - Wife refuses to have sex, husband has right to: refuse financial support"
mv634c,"NA - Wife refuses to have sex, husband has right to: use force for sex"
mv634d,"NA - Wife refuses to have sex, husband has right to: have sex with another women"
v701,Husband/partner's education level
v702,Husband/partner's highest year of education (at level in V701)
v704,Husband/partner's occupation
v705,Husband/partner's occupation (grouped)
v714,Respondent currently working
v714a,"Respondent has a job, but currently absent"
v715,Husband/partner's total number of years of education
v716,Respondent's occupation
v717,Respondent's occupation (grouped)
v719,"Respondent works for family, others, self"
v721,NA - Respondent works at home or away
v729,Husband/partner's educational attainment
v730,Husband/partner's age
v731,Respondent worked in last 12 months
v732,Respondent employed all year/seasonal
v739,Person who usually decides how to spend respondent's earnings
v740,NA - Type of land where respondent works
v741,Type of earnings from respondent's work
v743a,Person who usually decides on respondent's health care
v743b,Person who usually decides on large household purchases
v743c,NA - Person who usually decides on household purchases for daily needs
v743d,Person who usually decides on visits to family or relatives
v743e,NA - Person who usually decides on food to be cooked each day
v743f,Person who usually decides what to do with money husband earns
v744a,Beating justified if wife goes out without telling husband
v744b,Beating justified if wife neglects the children
v744c,Beating justified if wife argues with husband
v744d,Beating justified if wife refuses to have sex with husband
v744e,Beating justified if wife burns the food
v745a,Owns a house alone or jointly
v745b,Owns land alone or jointly
v746,Respondent earns more than husband/partner
mv714,Currently working
mv714a,"Have a job, but currently absent"
mv716,Occupation
mv717,Occupation (grouped)
mv719,"NA - Works for family, others, self"
mv721,NA - Works at home or away
mv731,Worked in last 12 months
mv732,Employment all year/seasonal
mv739,Person who usually decides how to spend respondent's earnings
mv740,NA - Type of land where respondent works
mv741,Type of earnings from respondent's work
mv743a,Person who should have greater say: respondent's health care
mv743b,Person who should have greater say: large household purchases
mv743c,NA - Person who should have greater say: daily household purchases
mv743d,NA - Person who should have greater say: visits to family or relatives
mv743e,NA - Person who should have greater say: food to be cooked each day
mv743f,NA - Person who should have greater say: deciding what to do with money wife earns
mv743g,NA - Person who should have greater say: deciding how many children to have
mv744a,Beating justified: wife goes out without telling husband
mv744b,Beating justified: wife neglects the children
mv744c,Beating justified: wife argues with husband
mv744d,Beating justified: wife refuses to have sex with husband
mv744e,Beating justified: wife burns food
mv745a,Owns a house alone or jointly
mv745b,Owns land alone or jointly
mv747a,NA - Childbearing is a woman's concern
mv747b,NA - Important for mother/child health to get assistance at delivery
v750,Ever heard of a Sexually Transmitted Infection (STI)
v751,Ever heard of AIDS
v754bp,NA - Reduce risk of getting HIV: do not have sex at all
v754cp,Reduce risk of getting HIV: always use condoms during sex
v754dp,"Reduce risk of getting HIV: have 1 sex partner only, who has no other partners"
v754jp,Can get HIV from mosquito bites
v754wp,Can get HIV by sharing food with person who has AIDS
v756,A healthy looking person can have HIV
v761,Condom used during last sex with most recent partner
v761b,Condom used during last sex with 2nd to most recent partner
v761c,Condom used during last sex with 3rd to most recent partner
v762aa,Source for condoms: government hospital
v762ab,Source for condoms: government health cente
v762ac,Source for condoms: government health post
v762ad,Source for condoms: FP clinic
v762ae,Source for condoms: community relay
v762af,Source for condoms: other public
v762ag,NA - Source for condoms: CS public
v762ah,NA - Source for condoms: CS public
v762ai,NA - Source for condoms: CS public
v762aj,Source for condoms: private hospital/clinic
v762ak,Source for condoms: pharmacy
v762al,NA - Source for condoms: private doctor
v762am,Source for condoms: NGO
v762an,Source for condoms: mobile clinic
v762ao,Source for condoms: private fieldworke
v762ap,Source for condoms: other medical private
v762aq,NA - Source for condoms: CS private
v762ar,NA - Source for condoms: CS private
v762as,Source for condoms: shop
v762at,Source for condoms: bar/night club
v762au,Source for condoms: kiosk
v762av,Source for condoms: table holder
v762aw,Source for condoms: parents/knowledge/friends
v762ax,Source for condoms: other
v762az,Don't know any source for condoms
v762ba,Source for female condoms: government hospital
v762bb,Source for female condoms: government health center
v762bc,Source for female condoms: government health post
v762bd,Source for female condoms: FP clinic
v762be,Source for female condoms: community relay
v762bf,Source for female condoms: other public
v762bg,NA - Source for female condoms: CS public
v762bh,NA - Source for female condoms: CS public
v762bi,NA - Source for female condoms: CS public
v762bj,Source for female condoms: private hospital/clinic
v762bk,Source for female condoms: pharmacy
v762bl,NA - Source for female condoms: private doctor
v762bm,Source for female condoms: NGO
v762bn,Source for female condoms: mobile clinic
v762bo,Source for female condoms: private fieldworker
v762bp,Source for female condoms: other medical private
v762bq,NA - Source for female condoms: CS private
v762br,NA - Source for female condoms: CS private
v762bs,Source for female condoms: shop
v762bt,Source for female condoms: bar/Night club
v762bu,Source for female condoms: kiosk
v762bv,Source for female condoms: table holder
v762bw,Source for female condoms: parents/knowledge/friends
v762bx,Source for female condoms: other
v762bz,Don't know any source for female condoms
v763a,Had any STI in last 12 months
v763b,Had genital sore/ulcer in last 12 months
v763c,Had genital discharge in last 12 months
v763d,NA - Had CS STI in last 12 months
v763e,NA - Had CS STI in last 12 months
v763f,NA - Had CS STI in last 12 months
v763g,NA - Had CS STI in last 12 months
v766a,"Number of sex partners, excluding spouse, in last 12 months"
v766b,"Number of sex partners, including spouse, in last 12 months"
v767a,Relationship with most recent sex partner
v767b,Relationship with 2nd to most recent sex partner
v767c,Relationship with 3rd to most recent sex partner
v768a,NA - Length of time knows last partner
v768b,NA - Length of time knows other partner (1)
v768c,NA - Length of time knows other partner (2)
v769,Can get a condom
v769a,Can get a female condom
v770,Sought advice/treatment for last STI infection
v770a,Sought STI advice/treatment from: government hospital
v770b,Sought STI advice/treatment from: government health center/post
v770c,Sought STI advice/treatment from: public stand-alone VCT center
v770d,Sought STI advice/treatment from: public family planning clinic
v770e,Sought STI advice/treatment from: public mobile clinic
v770f,Sought STI advice/treatment from: public field worker
v770g,Sought STI advice/treatment from: mobile treatment center
v770h,Sought STI advice/treatment from: other public
v770i,NA - Sought STI advice/treatment from: CS public
v770j,NA - Sought STI advice/treatment from: CS public
v770k,Sought STI advice/treatment from: private hospital/clinic/doctor
v770l,Sought STI advice/treatment from: VCT mobile
v770m,Sought STI advice/treatment from: mobile treatment center
v770n,Sought STI advice/treatment from: young care center
v770o,Sought STI advice/treatment from: other private medical
v770p,NA - Sought STI advice/treatment from: CS private
v770q,NA - Sought STI advice/treatment from: CS private
v770r,NA - Sought STI advice/treatment from: CS private
v770s,NA - Sought STI advice/treatment from: CS private
v770t,NA - Sought STI advice/treatment from: CS other
v770u,NA - Sought STI advice/treatment from: CS other
v770v,NA - Sought STI advice/treatment from: CS other
v770w,NA - Sought STI advice/treatment from: CS other
v770x,Sought STI advice/treatment from: other
v774a,HIV transmitted during pregnancy
v774b,HIV transmitted during delivery
v774c,HIV transmitted by breastfeeding
v775,"NA - Knows someone who has, or is suspected of having, HIV"
v777,Would want HIV infection in family to remain secret
v778,Willing to care for relative with AIDS
v779,"A female teacher infected with HIV, but is not sick, should be allowed to continue teaching"
v780,Children should be taught about condoms to avoid AIDS
v781,Ever been tested for HIV
v783,Know a place to get HIV test
v784a,Place for HIV test: government hospital
v784b,Place for HIV test: government health center/post
v784c,Place for HIV test: public stand-alone VCT center
v784d,Place for HIV test: public family planning clinic
v784e,Place for HIV test: public mobile clinic
v784f,Place for HIV test: public field worker
v784g,Place for HIV test: mobile treatment center
v784h,Place for HIV test: other public
v784i,NA - Place for HIV test: CS public
v784j,NA - Place for HIV test: CS public
v784k,Place for HIV test: private hospital/clinic/doctor
v784l,Place for HIV test: VCT mobile
v784m,Place for HIV test: mobile treatment center
v784n,Place for HIV test: young care center
v784o,Place for HIV test: other private medical
v784p,NA - Place for HIV test: CS private
v784q,NA - Place for HIV test: CS private
v784r,NA - Place for HIV test: CS private
v784s,NA - Place for HIV test: CS private
v784t,NA - Place for HIV test: CS other
v784u,NA - Place for HIV test: CS other
v784v,NA - Place for HIV test: CS other
v784x,Place for HIV test: other
v785,Heard about other STIs
mv750,Ever heard of a Sexually Transmitted Infection (STI)
mv751,Ever heard of AIDS
mv754bp,NA - Reduce risk of getting HIV: do not have sex at all
mv754cp,Reduce risk of getting HIV: always use condoms during sex
mv754dp,"Reduce risk of getting HIV: have 1 sex partner only, who has no other partners"
mv754jp,Can get HIV from mosquito bites
mv754wp,Can get HIV by sharing food with person who has AIDS
mv756,A healthy looking person can have HIV
mv761,Condom used during last sex with most recent partner
mv761b,Condom used during last sex with 2nd to most recent partner
mv761c,Condom used during last sex with 3rd to most recent partner
mv762aa,Source for condoms: government hospital
mv762ab,Source for condoms: government health cente
mv762ac,Source for condoms: government health post
mv762ad,Source for condoms: FP clinic
mv762ae,Source for condoms: community relay
mv762af,Source for condoms: other public
mv762ag,NA - Source for condoms: CS public
mv762ah,NA - Source for condoms: CS public
mv762ai,NA - Source for condoms: CS public
mv762aj,Source for condoms: private hospital/clinic
mv762ak,Source for condoms: pharmacy
mv762al,NA - Source for condoms: private doctor
mv762am,Source for condoms: NGO
mv762an,Source for condoms: mobile clinic
mv762ao,Source for condoms: private fieldworke
mv762ap,Source for condoms: other medical private
mv762aq,NA - Source for condoms: CS private
mv762ar,NA - Source for condoms: CS private
mv762as,Source for condoms: shop
mv762at,Source for condoms: bar/night club
mv762au,Source for condoms: kiosk
mv762av,Source for condoms: table holder
mv762aw,Source for condoms: parents/acquaintances/friends
mv762ax,Source for condoms: other
mv762az,Don't know any source for condoms
mv762ba,Source for female condoms: government hospital
mv762bb,Source for female condoms: government health center
mv762bc,Source for female condoms: government health post
mv762bd,Source for female condoms: FP clinic
mv762be,Source for female condoms: community relay
mv762bf,Source for female condoms: other public
mv762bg,NA - Source for female condoms: CS public
mv762bh,NA - Source for female condoms: CS public
mv762bi,NA - Source for female condoms: CS public
mv762bj,Source for female condoms: private hospital/clinic
mv762bk,Source for female condoms: pharmacy
mv762bl,NA - Source for female condoms: private doctor
mv762bm,Source for female condoms: NGO
mv762bn,Source for female condoms: mobile clinic
mv762bo,Source for female condoms: private fieldworker
mv762bp,Source for female condoms: other medical private
mv762bq,NA - Source for female condoms: CS private
mv762br,NA - Source for female condoms: CS private
mv762bs,Source for female condoms: shop
mv762bt,Source for female condoms: bar/night club
mv762bu,Source for female condoms: kiosk
mv762bv,Source for female condoms: table holder
mv762bw,Source for female condoms: parents/acquaintances/friends
mv762bx,Source for female condoms: other
mv762bz,Don't know any source for female condoms
mv763a,Had any STI in last 12 months
mv763b,Had genital sore/ulcer in last 12 months
mv763c,Had genital discharge in last 12 months
mv763d,NA - Had CS STI in last 12 months
mv763e,NA - Had CS STI in last 12 months
mv763f,NA - Had CS STI in last 12 months
mv763g,NA - Had CS STI in last 12 months
mv766a,"Number of sex partners, excluding spouse, in last 12 months"
mv766b,"Number of sex partners, including spouse, in last 12 months"
mv767a,Relationship with most recent sex partner
mv767b,Relationship with 2nd to most recent sex partner
mv767c,Relationship with 3rd to most recent sex partner
mv768a,NA - Length of time had sex relations with most recent partner
mv768b,NA - Length of time had sex relations with 2nd to most recent partner
mv768c,NA - Length of time had sex relations with 3rd to most recent partner
mv769,Can get a condom
mv769a,Can get a female condom
mv770,Sought advice/treatment for last STI infection
mv770a,Sought STI advice/treatment from: government hospital
mv770b,Sought STI advice/treatment from: government health center/post
mv770c,Sought STI advice/treatment from: public stand-alone VCT center
mv770d,Sought STI advice/treatment from: public family planning clinic
mv770e,Sought STI advice/treatment from: public mobile clinic
mv770f,Sought STI advice/treatment from: public field worker
mv770g,Sought STI advice/treatment from: mobile treatment center
mv770h,Sought STI advice/treatment from: other public
mv770i,NA - Sought STI advice/treatment from: CS public
mv770j,NA - Sought STI advice/treatment from: CS public
mv770k,Sought STI advice/treatment from: private hospital/clinic/doctor
mv770l,Sought STI advice/treatment from: VCT mobile
mv770m,Sought STI advice/treatment from: mobile treatment center
mv770n,Sought STI advice/treatment from: young care center
mv770o,Sought STI advice/treatment from: other private medical
mv770p,NA - Sought STI advice/treatment from: CS private
mv770q,NA - Sought STI advice/treatment from: CS private
mv770r,NA - Sought STI advice/treatment from: CS private
mv770s,NA - Sought STI advice/treatment from: CS private
mv770t,NA - Sought STI advice/treatment from: CS other
mv770u,NA - Sought STI advice/treatment from: CS other
mv770v,NA - Sought STI advice/treatment from: CS other
mv770w,NA - Sought STI advice/treatment from: CS other
mv770x,Sought STI advice/treatment from: other
mv774a,HIV transmitted during pregnancy
mv774b,HIV transmitted during delivery
mv774c,HIV transmitted by breastfeeding
mv775,"NA - Knows someone who has, or is suspected of having, HIV"
mv777,Would want HIV infection in family to remain secret
mv778,Willing to care for relative with AIDS
mv779,"A female teacher infected with HIV, but is not sick, should be allowed to continue teaching"
mv780,Children should be taught about condoms to avoid AIDS
mv781,Ever been tested for HIV
mv783,Know a place to get HIV test
mv784a,Place for HIV test: government hospital
mv784b,Place for HIV test: government health center/post
mv784c,Place for HIV test: public stand-alone VCT center
mv784d,Place for HIV test: public family planning clinic
mv784e,Place for HIV test: public mobile clinic
mv784f,Place for HIV test: public field worker
mv784g,Place for HIV test: mobile treatment center
mv784h,Place for HIV test: other public
mv784i,NA - Place for HIV test: CS public
mv784j,NA - Place for HIV test: CS public
mv784k,Place for HIV test: private hospital/clinic/doctor
mv784l,Place for HIV test: VCT mobile
mv784m,Place for HIV test: mobile treatment center
mv784n,Place for HIV test: young care center
mv784o,Place for HIV test: other private medical
mv784p,NA - Place for HIV test: CS private
mv784q,NA - Place for HIV test: CS private
mv784r,NA - Place for HIV test: CS private
mv784s,NA - Place for HIV test: CS other
mv784t,NA - Place for HIV test: CS other
mv784u,NA - Place for HIV test: CS other
mv784v,NA - Place for HIV test: CS other
mv784x,Place for HIV test: other
mv785,Heard about other STIs
mv791,Have ever paid anyone in exchange for sex
mv793,Paid for sex in last 12 months
mv793a,Condom used last time paid for sex in last 12 months
mv793b,Condom used every time paid for sex in last 12 months
v820,NA - Condom used at first sex
v821a,"NA - Most recent sex partner younger, the same age or older"
v821b,"NA - 2nd to most recent sex partner younger, the same age or older"
v821c,"NA - 3rd to most recent sex partner younger, the same age or older"
v822,Wife justified asking husband to use condom if he has STI
v823,Can get HIV by witchcraft or supernatural means
v824,Drugs to avoid HIV transmission to baby during pregnancy
v825,Would buy vegetables from vendor with HIV
v826,NA - Last time tested for HIV
v826a,Months ago most recent HIV test
v827,"NA - Last HIV test: on your own, offered or required"
v828,Received result from last HIV test
v829,Place where last HIV test was taken
v830,NA - Age of first sex partner
v831,"NA - First sex partner younger, same age or older"
v832b,Time since last sex with 2nd to most recent partner
v832c,Time since last sex with 3rd to most recent partner
v833a,Used condom every time had sex with most recent partner in last 12 months
v833b,Used condom every time had sex with 2nd to most recent partner in last 12 months
v833c,Used condom every time had sex with 3rd to most recent partner in last 12 months
v834a,Age of most recent partner
v834b,Age of 2nd to most recent partner
v834c,Age of 3rd to most recent partner
v835a,NA - Alcohol consumption at last sex with most recent partner
v835b,NA - Alcohol consumption at last sex with 2nd to most recent partner
v835c,NA - Alcohol consumption at last sex with 3rd to most recent partner
v836,Total lifetime number of sex partners
v837,NA - Heard of drugs to help HIV infected people live longer
v838a,During antenatal visit talked about: HIV transmitted mother to child
v838b,During antenatal visit talked about: things to do to prevent getting HIV
v838c,During antenatal visit talked about: getting tested for HIV
v839,Offered HIV test as part of antenatal visit
v839a,Offered HIV test between the time went for delivery and before baby was born
v840,Tested for HIV as part of antenatal visit
v840a,Tested for HIV between the time went for delivery and before baby was born
v841,Got results of HIV test as part of antenatal visit
v841a,Got results of HIV test when tested before baby was born
v842,Place were HIV test was taken as part of antenatal visit
v843,Tested for HIV since antenatal visit test
v844,"NA - Knows someone denied health services for having, or suspected of having, HIV; in last 12 months"
v845,"NA - Knows someone denied social events for having, or suspected of having, HIV; in last 12 months"
v846,"NA - Knows someone verbally abused for having, or suspected of having, HIV; in last 12 months"
v847,NA - People with HIV should be ashamed of themselves
v848,NA - People with HIV should be blamed for bringing disease to community
v849,NA - Children 12-14 should be taught to wait for sex until marriage
v850a,Respondent can refuse sex
v850b,Respondent can ask partner to use a condom
v851a,NA - Young men should wait for sex until marriage
v851b,NA - Most young men wait for sex until marriage
v851c,NA - Unmarried sexually active men should only having sex with one partner
v851d,NA - Most unmarried sexually active men have only one partner
v851e,NA - Married men should only have sex with their wives
v851f,NA - Most married men only have sex with their wives
v851g,NA - Young women should wait for sex until marriage
v851h,NA - Most young women wait for sex until marriage
v851i,NA - Unmarried sexually active women should have only one partner
v851j,NA - Most unmarried sexually active women have only one partner
v851k,NA - Married women should only have sex with their husbands
v851l,NA - Most married women only have sex with their husbands
v852a,How long ago first had sex with most recent partner
v852b,How long ago first had sex with 2nd most recent partner
v852c,How long ago first had sex with 3rd most recent partner
v853a,Times in last 12 months had sex with most recent partner
v853b,Times in last 12 months had sex with 2nd most recent partner
v853c,Times in last 12 months had sex with 3rd most recent partner
v854a,Point concurrent sexual partners
v854b,Cumulative concurrent sexual partners
v855,Received counseling after tested for AIDS during antenatal care
mv820,NA - Condom used at first sex
mv822,Wife justified asking husband to use condom if he has STI
mv823,Can get HIV by witchcraft or supernatural means
mv824,Drugs to avoid HIV transmission to baby during pregnancy
mv825,Would buy vegetables from vendor with HIV
mv826,NA - Last time tested for HIV
mv826a,Months ago most recent HIV test
mv827,"NA - Last HIV test: on your own, offered or required"
mv828,Received result from last HIV test
mv829,Place where last HIV test was taken
mv832b,Time since last sex with 2nd to most recent partner
mv832c,Time since last sex with 3rd to most recent partner
mv833a,Used condom every time had sex with most recent partner in last 12 months
mv833b,Used condom every time had sex with 2nd to most recent partner in last 12 months
mv833c,Used condom every time had sex with 3rd to most recent partner in last 12 months
mv834a,Age of most recent partner
mv834b,Age of 2nd to most recent partner
mv834c,Age of 3rd to most recent partner
mv835a,NA - Alcohol consumption at last sex with most recent partner
mv835b,NA - Alcohol consumption at last sex with 2nd to most recent partner
mv835c,NA - Alcohol consumption at last sex with 3rd to most recent partner
mv836,Total lifetime number of sex partners
mv837,NA - Heard of drugs to help HIV infected people live longer
mv844,"NA - Knows someone denied health services for having, or suspected of having, HIV; in last 12 months"
mv845,"NA - Knows someone denied social event for having, or suspected of having, HIV; in last 12 months"
mv846,"NA - Knows someone verbally abused for having, or suspected of having, HIV; in last 12 months"
mv847,NA - People with HIV should be ashamed of themselves
mv848,NA - People with HIV should be blamed for bringing disease to community
mv849,NA - Children 12-14 should be taught to wait for sex until marriage
mv851a,NA - Young men should wait for sex until marriage
mv851b,NA - Most young men wait for sex until marriage
mv851c,NA - Unmarried sexually active men should have only one partner
mv851d,NA - Most unmarried sexually active men have only one partner
mv851e,NA - Married men should only have sex with their wives
mv851f,NA - Most married men only have sex with their wives
mv851g,NA - Young women should wait for sex until marriage
mv851h,NA - Most young women wait for sex until marriage
mv851i,NA - Unmarried sexually active women should have only one partner
mv851j,NA - Most unmarried sexually active women have only one partner
mv851k,NA - Married women should only have sex with their husbands
mv851l,NA - Most married women only have sex with their husbands
mv852a,How long ago first had sex with most recent partner
mv852b,How long ago first had sex with 2nd most recent partner
mv852c,How long ago first had sex with 3rd most recent partner
mv853a,Times in last 12 months had sex with most recent partner
mv853b,Times in last 12 months had sex with 2nd most recent partner
mv853c,Times in last 12 months had sex with 3rd most recent partner
mv854a,Concurrent sexual partners
mv854b,Cumulative concurrent sexual partners
v801,Time interview started (hhmm - 24 hour clock)
v802,Time interview ended (hhmm - 24 hour clock)
v803,Length of interview in minutes
v804,Number of visits
v805,Interviewer identification
v806,Keyer identification
v811,Presence of children < 10 for 'Wife beating justified' questions
v812,Presence of husband for 'Wife beating justified' questions
v813,Presence of other males for 'Wife beating justified' questions
v814,Presence of other females for 'Wife beating justified' questions
v815a,Presence of children < 10 during sexual activity section
v815b,Presence of male adults during sexual activity section
v815c,Presence of female adults during sexual activity section
idxml_1,Index to Birth History
idxml_2,Index to Birth History
idxml_3,Index to Birth History
idxml_4,Index to Birth History
idxml_5,Index to Birth History
