variable,description
sh281_12,"Has any difficulty hearing (uses hearing aid, hears with difficulty or completely deaf)"
sh281_13,"Has any difficulty hearing (uses hearing aid, hears with difficulty or completely deaf)"
sh281_14,"Has any difficulty hearing (uses hearing aid, hears with difficulty or completely deaf)"
sh281_15,"Has any difficulty hearing (uses hearing aid, hears with difficulty or completely deaf)"
sh281_16,"Has any difficulty hearing (uses hearing aid, hears with difficulty or completely deaf)"
sh281_17,"Has any difficulty hearing (uses hearing aid, hears with difficulty or completely deaf)"
sh281_18,"Has any difficulty hearing (uses hearing aid, hears with difficulty or completely deaf)"
sh281_19,"Has any difficulty hearing (uses hearing aid, hears with difficulty or completely deaf)"
sh281_20,"Has any difficulty hearing (uses hearing aid, hears with difficulty or completely deaf)"
sh281_21,"Has any difficulty hearing (uses hearing aid, hears with difficulty or completely deaf)"
sh281_22,"Has any difficulty hearing (uses hearing aid, hears with difficulty or completely deaf)"
sh281_23,"Has any difficulty hearing (uses hearing aid, hears with difficulty or completely deaf)"
sh281_24,"Has any difficulty hearing (uses hearing aid, hears with difficulty or completely deaf)"
sh282_01,Seems to understand what you are saying
sh282_02,Seems to understand what you are saying
sh282_03,Seems to understand what you are saying
sh282_04,Seems to understand what you are saying
sh282_05,Seems to understand what you are saying
sh282_06,Seems to understand what you are saying
sh282_07,Seems to understand what you are saying
sh282_08,Seems to understand what you are saying
sh282_09,Seems to understand what you are saying
sh282_10,Seems to understand what you are saying
sh282_11,Seems to understand what you are saying
sh282_12,Seems to understand what you are saying
sh282_13,Seems to understand what you are saying
sh282_14,Seems to understand what you are saying
sh282_15,Seems to understand what you are saying
sh282_16,Seems to understand what you are saying
sh282_17,Seems to understand what you are saying
sh282_18,Seems to understand what you are saying
sh282_19,Seems to understand what you are saying
sh282_20,Seems to understand what you are saying
sh282_21,Seems to understand what you are saying
sh282_22,Seems to understand what you are saying
sh282_23,Seems to understand what you are saying
sh282_24,Seems to understand what you are saying
sh283_01,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_02,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_03,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_04,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_05,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_06,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_07,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_08,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_09,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_10,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_11,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_12,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_13,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_14,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_15,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_16,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_17,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_18,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_19,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_20,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_21,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_22,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_23,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh283_24,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh284_01,"Sometimes have fits, become rigid, or lose consciousness"
sh284_02,"Sometimes have fits, become rigid, or lose consciousness"
sh284_03,"Sometimes have fits, become rigid, or lose consciousness"
sh284_04,"Sometimes have fits, become rigid, or lose consciousness"
sh284_05,"Sometimes have fits, become rigid, or lose consciousness"
sh284_06,"Sometimes have fits, become rigid, or lose consciousness"
sh284_07,"Sometimes have fits, become rigid, or lose consciousness"
sh284_08,"Sometimes have fits, become rigid, or lose consciousness"
sh284_09,"Sometimes have fits, become rigid, or lose consciousness"
sh284_10,"Sometimes have fits, become rigid, or lose consciousness"
sh284_11,"Sometimes have fits, become rigid, or lose consciousness"
sh284_12,"Sometimes have fits, become rigid, or lose consciousness"
sh284_13,"Sometimes have fits, become rigid, or lose consciousness"
sh284_14,"Sometimes have fits, become rigid, or lose consciousness"
sh284_15,"Sometimes have fits, become rigid, or lose consciousness"
sh284_16,"Sometimes have fits, become rigid, or lose consciousness"
sh284_17,"Sometimes have fits, become rigid, or lose consciousness"
sh284_18,"Sometimes have fits, become rigid, or lose consciousness"
sh284_19,"Sometimes have fits, become rigid, or lose consciousness"
sh284_20,"Sometimes have fits, become rigid, or lose consciousness"
sh284_21,"Sometimes have fits, become rigid, or lose consciousness"
sh284_22,"Sometimes have fits, become rigid, or lose consciousness"
sh284_23,"Sometimes have fits, become rigid, or lose consciousness"
sh284_24,"Sometimes have fits, become rigid, or lose consciousness"
sh285_01,Learn to do things like other children his/her age
sh285_02,Learn to do things like other children his/her age
sh285_03,Learn to do things like other children his/her age
sh285_04,Learn to do things like other children his/her age
sh285_05,Learn to do things like other children his/her age
sh285_06,Learn to do things like other children his/her age
sh285_07,Learn to do things like other children his/her age
sh285_08,Learn to do things like other children his/her age
sh285_09,Learn to do things like other children his/her age
sh285_10,Learn to do things like other children his/her age
sh285_11,Learn to do things like other children his/her age
sh285_12,Learn to do things like other children his/her age
sh285_13,Learn to do things like other children his/her age
sh285_14,Learn to do things like other children his/her age
sh285_15,Learn to do things like other children his/her age
sh285_16,Learn to do things like other children his/her age
sh285_17,Learn to do things like other children his/her age
sh285_18,Learn to do things like other children his/her age
sh285_19,Learn to do things like other children his/her age
sh285_20,Learn to do things like other children his/her age
sh285_21,Learn to do things like other children his/her age
sh285_22,Learn to do things like other children his/her age
sh285_23,Learn to do things like other children his/her age
sh285_24,Learn to do things like other children his/her age
sh286_01,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_02,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_03,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_04,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_05,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_06,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_07,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_08,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_09,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_10,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_11,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_12,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_13,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_14,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_15,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_16,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_17,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_18,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_19,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_20,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_21,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_22,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_23,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh286_24,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh288_01,Speech in any way different from normal
sh288_02,Speech in any way different from normal
sh288_03,Speech in any way different from normal
sh288_04,Speech in any way different from normal
sh288_05,Speech in any way different from normal
sh288_06,Speech in any way different from normal
sh288_07,Speech in any way different from normal
sh288_08,Speech in any way different from normal
sh288_09,Speech in any way different from normal
sh288_10,Speech in any way different from normal
sh288_11,Speech in any way different from normal
sh288_12,Speech in any way different from normal
sh288_13,Speech in any way different from normal
sh288_14,Speech in any way different from normal
sh288_15,Speech in any way different from normal
sh288_16,Speech in any way different from normal
sh288_17,Speech in any way different from normal
sh288_18,Speech in any way different from normal
sh288_19,Speech in any way different from normal
sh288_20,Speech in any way different from normal
sh288_21,Speech in any way different from normal
sh288_22,Speech in any way different from normal
sh288_23,Speech in any way different from normal
sh288_24,Speech in any way different from normal
sh289_01,Name at least one object
sh289_02,Name at least one object
sh289_03,Name at least one object
sh289_04,Name at least one object
sh289_05,Name at least one object
sh289_06,Name at least one object
sh289_07,Name at least one object
sh289_08,Name at least one object
sh289_09,Name at least one object
sh289_10,Name at least one object
sh289_11,Name at least one object
sh289_12,Name at least one object
sh289_13,Name at least one object
sh289_14,Name at least one object
sh289_15,Name at least one object
sh289_16,Name at least one object
sh289_17,Name at least one object
sh289_18,Name at least one object
sh289_19,Name at least one object
sh289_20,Name at least one object
sh289_21,Name at least one object
sh289_22,Name at least one object
sh289_23,Name at least one object
sh289_24,Name at least one object
sh290_01,"Appear in any way mentally backward, dull or slow"
sh290_02,"Appear in any way mentally backward, dull or slow"
sh290_03,"Appear in any way mentally backward, dull or slow"
sh290_04,"Appear in any way mentally backward, dull or slow"
sh290_05,"Appear in any way mentally backward, dull or slow"
sh290_06,"Appear in any way mentally backward, dull or slow"
sh290_07,"Appear in any way mentally backward, dull or slow"
sh290_08,"Appear in any way mentally backward, dull or slow"
sh290_09,"Appear in any way mentally backward, dull or slow"
sh290_10,"Appear in any way mentally backward, dull or slow"
sh290_11,"Appear in any way mentally backward, dull or slow"
sh290_12,"Appear in any way mentally backward, dull or slow"
sh290_13,"Appear in any way mentally backward, dull or slow"
sh290_14,"Appear in any way mentally backward, dull or slow"
sh290_15,"Appear in any way mentally backward, dull or slow"
sh290_16,"Appear in any way mentally backward, dull or slow"
sh290_17,"Appear in any way mentally backward, dull or slow"
sh290_18,"Appear in any way mentally backward, dull or slow"
sh290_19,"Appear in any way mentally backward, dull or slow"
sh290_20,"Appear in any way mentally backward, dull or slow"
sh290_21,"Appear in any way mentally backward, dull or slow"
sh290_22,"Appear in any way mentally backward, dull or slow"
sh290_23,"Appear in any way mentally backward, dull or slow"
sh290_24,"Appear in any way mentally backward, dull or slow"
sh310a_01,Read consent statement for vaccination
sh310a_02,Read consent statement for vaccination
sh310a_03,Read consent statement for vaccination
sh310a_04,Read consent statement for vaccination
sh310a_05,Read consent statement for vaccination
sh310a_06,Read consent statement for vaccination
sh310a_07,Read consent statement for vaccination
sh310a_08,Read consent statement for vaccination
sh310a_09,Read consent statement for vaccination
sh310a_10,Read consent statement for vaccination
sh310a_11,Read consent statement for vaccination
sh310a_12,Read consent statement for vaccination
sh310a_13,Read consent statement for vaccination
sh310a_14,Read consent statement for vaccination
sh310a_15,Read consent statement for vaccination
sh310a_16,Read consent statement for vaccination
sh310a_17,Read consent statement for vaccination
sh310a_18,Read consent statement for vaccination
sh310a_19,Read consent statement for vaccination
sh310a_20,Read consent statement for vaccination
sh310a_21,Read consent statement for vaccination
sh310a_22,Read consent statement for vaccination
sh310a_23,Read consent statement for vaccination
sh310a_24,Read consent statement for vaccination
sh312_01,Bar code for blood sample for vaccination
sh312_02,Bar code for blood sample for vaccination
sh312_03,Bar code for blood sample for vaccination
sh312_04,Bar code for blood sample for vaccination
sh312_05,Bar code for blood sample for vaccination
sh312_06,Bar code for blood sample for vaccination
sh312_07,Bar code for blood sample for vaccination
sh312_08,Bar code for blood sample for vaccination
sh312_09,Bar code for blood sample for vaccination
sh312_10,Bar code for blood sample for vaccination
sh312_11,Bar code for blood sample for vaccination
sh312_12,Bar code for blood sample for vaccination
sh312_13,Bar code for blood sample for vaccination
sh312_14,Bar code for blood sample for vaccination
sh312_15,Bar code for blood sample for vaccination
sh312_16,Bar code for blood sample for vaccination
sh312_17,Bar code for blood sample for vaccination
sh312_18,Bar code for blood sample for vaccination
sh312_19,Bar code for blood sample for vaccination
sh312_20,Bar code for blood sample for vaccination
sh312_21,Bar code for blood sample for vaccination
sh312_22,Bar code for blood sample for vaccination
sh312_23,Bar code for blood sample for vaccination
sh312_24,Bar code for blood sample for vaccination
sh318a_01,Child suffering any illnesses or symptoms: prostration
sh318a_02,Child suffering any illnesses or symptoms: prostration
sh318a_03,Child suffering any illnesses or symptoms: prostration
sh318a_04,Child suffering any illnesses or symptoms: prostration
sh318a_05,Child suffering any illnesses or symptoms: prostration
sh318a_06,Child suffering any illnesses or symptoms: prostration
sh318a_07,Child suffering any illnesses or symptoms: prostration
sh318a_08,Child suffering any illnesses or symptoms: prostration
sh318a_09,Child suffering any illnesses or symptoms: prostration
sh318a_10,Child suffering any illnesses or symptoms: prostration
sh318a_11,Child suffering any illnesses or symptoms: prostration
sh318a_12,Child suffering any illnesses or symptoms: prostration
sh318a_13,Child suffering any illnesses or symptoms: prostration
sh318a_14,Child suffering any illnesses or symptoms: prostration
sh318a_15,Child suffering any illnesses or symptoms: prostration
sh318a_16,Child suffering any illnesses or symptoms: prostration
sh318a_17,Child suffering any illnesses or symptoms: prostration
sh318a_18,Child suffering any illnesses or symptoms: prostration
sh318a_19,Child suffering any illnesses or symptoms: prostration
sh318a_20,Child suffering any illnesses or symptoms: prostration
sh318a_21,Child suffering any illnesses or symptoms: prostration
sh318a_22,Child suffering any illnesses or symptoms: prostration
sh318a_23,Child suffering any illnesses or symptoms: prostration
sh318a_24,Child suffering any illnesses or symptoms: prostration
sh318b_01,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_02,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_03,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_04,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_05,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_06,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_07,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_08,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_09,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_10,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_11,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_12,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_13,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_14,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_15,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_16,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_17,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_18,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_19,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_20,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_21,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_22,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_23,Child suffering any illnesses or symptoms: loss of consciousness
sh318b_24,Child suffering any illnesses or symptoms: loss of consciousness
sh318c_01,Child suffering any illnesses or symptoms: difficult breathing
sh318c_02,Child suffering any illnesses or symptoms: difficult breathing
sh318c_03,Child suffering any illnesses or symptoms: difficult breathing
sh318c_04,Child suffering any illnesses or symptoms: difficult breathing
sh318c_05,Child suffering any illnesses or symptoms: difficult breathing
sh318c_06,Child suffering any illnesses or symptoms: difficult breathing
sh318c_07,Child suffering any illnesses or symptoms: difficult breathing
sh318c_08,Child suffering any illnesses or symptoms: difficult breathing
sh318c_09,Child suffering any illnesses or symptoms: difficult breathing
sh318c_10,Child suffering any illnesses or symptoms: difficult breathing
sh318c_11,Child suffering any illnesses or symptoms: difficult breathing
sh318c_12,Child suffering any illnesses or symptoms: difficult breathing
sh318c_13,Child suffering any illnesses or symptoms: difficult breathing
sh318c_14,Child suffering any illnesses or symptoms: difficult breathing
sh318c_15,Child suffering any illnesses or symptoms: difficult breathing
sh318c_16,Child suffering any illnesses or symptoms: difficult breathing
sh318c_17,Child suffering any illnesses or symptoms: difficult breathing
sh318c_18,Child suffering any illnesses or symptoms: difficult breathing
sh318c_19,Child suffering any illnesses or symptoms: difficult breathing
sh318c_20,Child suffering any illnesses or symptoms: difficult breathing
sh318c_21,Child suffering any illnesses or symptoms: difficult breathing
sh318c_22,Child suffering any illnesses or symptoms: difficult breathing
sh318c_23,Child suffering any illnesses or symptoms: difficult breathing
sh318c_24,Child suffering any illnesses or symptoms: difficult breathing
sh318d_01,Child suffering any illnesses or symptoms: convulsions
sh318d_02,Child suffering any illnesses or symptoms: convulsions
sh318d_03,Child suffering any illnesses or symptoms: convulsions
sh318d_04,Child suffering any illnesses or symptoms: convulsions
sh318d_05,Child suffering any illnesses or symptoms: convulsions
sh318d_06,Child suffering any illnesses or symptoms: convulsions
sh318d_07,Child suffering any illnesses or symptoms: convulsions
sh318d_08,Child suffering any illnesses or symptoms: convulsions
sh318d_09,Child suffering any illnesses or symptoms: convulsions
sh318d_10,Child suffering any illnesses or symptoms: convulsions
sh318d_11,Child suffering any illnesses or symptoms: convulsions
sh318d_12,Child suffering any illnesses or symptoms: convulsions
sh318d_13,Child suffering any illnesses or symptoms: convulsions
sh318d_14,Child suffering any illnesses or symptoms: convulsions
sh318d_15,Child suffering any illnesses or symptoms: convulsions
sh318d_16,Child suffering any illnesses or symptoms: convulsions
sh318d_17,Child suffering any illnesses or symptoms: convulsions
sh318d_18,Child suffering any illnesses or symptoms: convulsions
sh318d_19,Child suffering any illnesses or symptoms: convulsions
sh318d_20,Child suffering any illnesses or symptoms: convulsions
sh318d_21,Child suffering any illnesses or symptoms: convulsions
sh318d_22,Child suffering any illnesses or symptoms: convulsions
sh318d_23,Child suffering any illnesses or symptoms: convulsions
sh318d_24,Child suffering any illnesses or symptoms: convulsions
sh318e_01,Child suffering any illnesses or symptoms: bleeding
sh318e_02,Child suffering any illnesses or symptoms: bleeding
sh318e_03,Child suffering any illnesses or symptoms: bleeding
sh318e_04,Child suffering any illnesses or symptoms: bleeding
sh318e_05,Child suffering any illnesses or symptoms: bleeding
sh318e_06,Child suffering any illnesses or symptoms: bleeding
sh318e_07,Child suffering any illnesses or symptoms: bleeding
sh318e_08,Child suffering any illnesses or symptoms: bleeding
sh318e_09,Child suffering any illnesses or symptoms: bleeding
sh318e_10,Child suffering any illnesses or symptoms: bleeding
sh318e_11,Child suffering any illnesses or symptoms: bleeding
sh318e_12,Child suffering any illnesses or symptoms: bleeding
sh318e_13,Child suffering any illnesses or symptoms: bleeding
sh318e_14,Child suffering any illnesses or symptoms: bleeding
sh318e_15,Child suffering any illnesses or symptoms: bleeding
sh318e_16,Child suffering any illnesses or symptoms: bleeding
sh318e_17,Child suffering any illnesses or symptoms: bleeding
sh318e_18,Child suffering any illnesses or symptoms: bleeding
sh318e_19,Child suffering any illnesses or symptoms: bleeding
sh318e_20,Child suffering any illnesses or symptoms: bleeding
sh318e_21,Child suffering any illnesses or symptoms: bleeding
sh318e_22,Child suffering any illnesses or symptoms: bleeding
sh318e_23,Child suffering any illnesses or symptoms: bleeding
sh318e_24,Child suffering any illnesses or symptoms: bleeding
sh318f_01,Child suffering any illnesses or symptoms:  jaundice
sh318f_02,Child suffering any illnesses or symptoms:  jaundice
sh318f_03,Child suffering any illnesses or symptoms:  jaundice
sh318f_04,Child suffering any illnesses or symptoms:  jaundice
sh318f_05,Child suffering any illnesses or symptoms:  jaundice
sh318f_06,Child suffering any illnesses or symptoms:  jaundice
sh318f_07,Child suffering any illnesses or symptoms:  jaundice
sh318f_08,Child suffering any illnesses or symptoms:  jaundice
sh318f_09,Child suffering any illnesses or symptoms:  jaundice
sh318f_10,Child suffering any illnesses or symptoms:  jaundice
sh318f_11,Child suffering any illnesses or symptoms:  jaundice
sh318f_12,Child suffering any illnesses or symptoms:  jaundice
sh318f_13,Child suffering any illnesses or symptoms:  jaundice
sh318f_14,Child suffering any illnesses or symptoms:  jaundice
sh318f_15,Child suffering any illnesses or symptoms:  jaundice
sh318f_16,Child suffering any illnesses or symptoms:  jaundice
sh318f_17,Child suffering any illnesses or symptoms:  jaundice
sh318f_18,Child suffering any illnesses or symptoms:  jaundice
sh318f_19,Child suffering any illnesses or symptoms:  jaundice
sh318f_20,Child suffering any illnesses or symptoms:  jaundice
sh318f_21,Child suffering any illnesses or symptoms:  jaundice
sh318f_22,Child suffering any illnesses or symptoms:  jaundice
sh318f_23,Child suffering any illnesses or symptoms:  jaundice
sh318f_24,Child suffering any illnesses or symptoms:  jaundice
sh318g_01,Child suffering any illnesses or symptoms: dark urine
sh318g_02,Child suffering any illnesses or symptoms: dark urine
sh318g_03,Child suffering any illnesses or symptoms: dark urine
sh318g_04,Child suffering any illnesses or symptoms: dark urine
sh318g_05,Child suffering any illnesses or symptoms: dark urine
sh318g_06,Child suffering any illnesses or symptoms: dark urine
sh318g_07,Child suffering any illnesses or symptoms: dark urine
sh318g_08,Child suffering any illnesses or symptoms: dark urine
sh318g_09,Child suffering any illnesses or symptoms: dark urine
sh318g_10,Child suffering any illnesses or symptoms: dark urine
sh318g_11,Child suffering any illnesses or symptoms: dark urine
sh318g_12,Child suffering any illnesses or symptoms: dark urine
sh318g_13,Child suffering any illnesses or symptoms: dark urine
sh318g_14,Child suffering any illnesses or symptoms: dark urine
sh318g_15,Child suffering any illnesses or symptoms: dark urine
sh318g_16,Child suffering any illnesses or symptoms: dark urine
sh318g_17,Child suffering any illnesses or symptoms: dark urine
sh318g_18,Child suffering any illnesses or symptoms: dark urine
sh318g_19,Child suffering any illnesses or symptoms: dark urine
sh318g_20,Child suffering any illnesses or symptoms: dark urine
sh318g_21,Child suffering any illnesses or symptoms: dark urine
sh318g_22,Child suffering any illnesses or symptoms: dark urine
sh318g_23,Child suffering any illnesses or symptoms: dark urine
sh318g_24,Child suffering any illnesses or symptoms: dark urine
sh318h_01,Child suffering any illnesses or symptoms: vomiting
sh318h_02,Child suffering any illnesses or symptoms: vomiting
sh318h_03,Child suffering any illnesses or symptoms: vomiting
sh318h_04,Child suffering any illnesses or symptoms: vomiting
sh318h_05,Child suffering any illnesses or symptoms: vomiting
sh318h_06,Child suffering any illnesses or symptoms: vomiting
sh318h_07,Child suffering any illnesses or symptoms: vomiting
sh318h_08,Child suffering any illnesses or symptoms: vomiting
sh318h_09,Child suffering any illnesses or symptoms: vomiting
sh318h_10,Child suffering any illnesses or symptoms: vomiting
sh318h_11,Child suffering any illnesses or symptoms: vomiting
sh318h_12,Child suffering any illnesses or symptoms: vomiting
sh318h_13,Child suffering any illnesses or symptoms: vomiting
sh318h_14,Child suffering any illnesses or symptoms: vomiting
sh318h_15,Child suffering any illnesses or symptoms: vomiting
sh318h_16,Child suffering any illnesses or symptoms: vomiting
sh318h_17,Child suffering any illnesses or symptoms: vomiting
sh318h_18,Child suffering any illnesses or symptoms: vomiting
sh318h_19,Child suffering any illnesses or symptoms: vomiting
sh318h_20,Child suffering any illnesses or symptoms: vomiting
sh318h_21,Child suffering any illnesses or symptoms: vomiting
sh318h_22,Child suffering any illnesses or symptoms: vomiting
sh318h_23,Child suffering any illnesses or symptoms: vomiting
sh318h_24,Child suffering any illnesses or symptoms: vomiting
sh318y_01,Child suffering any illnesses or symptoms: no symptoms
sh318y_02,Child suffering any illnesses or symptoms: no symptoms
sh318y_03,Child suffering any illnesses or symptoms: no symptoms
sh318y_04,Child suffering any illnesses or symptoms: no symptoms
sh318y_05,Child suffering any illnesses or symptoms: no symptoms
sh318y_06,Child suffering any illnesses or symptoms: no symptoms
sh318y_07,Child suffering any illnesses or symptoms: no symptoms
sh318y_08,Child suffering any illnesses or symptoms: no symptoms
sh318y_09,Child suffering any illnesses or symptoms: no symptoms
sh318y_10,Child suffering any illnesses or symptoms: no symptoms
sh318y_11,Child suffering any illnesses or symptoms: no symptoms
sh318y_12,Child suffering any illnesses or symptoms: no symptoms
sh318y_13,Child suffering any illnesses or symptoms: no symptoms
sh318y_14,Child suffering any illnesses or symptoms: no symptoms
sh318y_15,Child suffering any illnesses or symptoms: no symptoms
sh318y_16,Child suffering any illnesses or symptoms: no symptoms
sh318y_17,Child suffering any illnesses or symptoms: no symptoms
sh318y_18,Child suffering any illnesses or symptoms: no symptoms
sh318y_19,Child suffering any illnesses or symptoms: no symptoms
sh318y_20,Child suffering any illnesses or symptoms: no symptoms
sh318y_21,Child suffering any illnesses or symptoms: no symptoms
sh318y_22,Child suffering any illnesses or symptoms: no symptoms
sh318y_23,Child suffering any illnesses or symptoms: no symptoms
sh318y_24,Child suffering any illnesses or symptoms: no symptoms
sh322_01,Taking cta to treat the malaria
sh322_02,Taking cta to treat the malaria
sh322_03,Taking cta to treat the malaria
sh322_04,Taking cta to treat the malaria
sh322_05,Taking cta to treat the malaria
sh322_06,Taking cta to treat the malaria
sh322_07,Taking cta to treat the malaria
sh322_08,Taking cta to treat the malaria
sh322_09,Taking cta to treat the malaria
sh322_10,Taking cta to treat the malaria
sh322_11,Taking cta to treat the malaria
sh322_12,Taking cta to treat the malaria
sh322_13,Taking cta to treat the malaria
sh322_14,Taking cta to treat the malaria
sh322_15,Taking cta to treat the malaria
sh322_16,Taking cta to treat the malaria
sh322_17,Taking cta to treat the malaria
sh322_18,Taking cta to treat the malaria
sh322_19,Taking cta to treat the malaria
sh322_20,Taking cta to treat the malaria
sh322_21,Taking cta to treat the malaria
sh322_22,Taking cta to treat the malaria
sh322_23,Taking cta to treat the malaria
sh322_24,Taking cta to treat the malaria
sh325_01,Acceptance of medicine
sh325_02,Acceptance of medicine
sh325_03,Acceptance of medicine
sh325_04,Acceptance of medicine
sh325_05,Acceptance of medicine
sh325_06,Acceptance of medicine
sh325_07,Acceptance of medicine
sh325_08,Acceptance of medicine
sh325_09,Acceptance of medicine
sh325_10,Acceptance of medicine
sh325_11,Acceptance of medicine
sh325_12,Acceptance of medicine
sh325_13,Acceptance of medicine
sh325_14,Acceptance of medicine
sh325_15,Acceptance of medicine
sh325_16,Acceptance of medicine
sh325_17,Acceptance of medicine
sh325_18,Acceptance of medicine
sh325_19,Acceptance of medicine
sh325_20,Acceptance of medicine
sh325_21,Acceptance of medicine
sh325_22,Acceptance of medicine
sh325_23,Acceptance of medicine
sh325_24,Acceptance of medicine
sh327_01,Result code of malaria treatment and referral
sh327_02,Result code of malaria treatment and referral
sh327_03,Result code of malaria treatment and referral
sh327_04,Result code of malaria treatment and referral
sh327_05,Result code of malaria treatment and referral
sh327_06,Result code of malaria treatment and referral
sh327_07,Result code of malaria treatment and referral
sh327_08,Result code of malaria treatment and referral
sh327_09,Result code of malaria treatment and referral
sh327_10,Result code of malaria treatment and referral
sh327_11,Result code of malaria treatment and referral
sh327_12,Result code of malaria treatment and referral
sh327_13,Result code of malaria treatment and referral
sh327_14,Result code of malaria treatment and referral
sh327_15,Result code of malaria treatment and referral
sh327_16,Result code of malaria treatment and referral
sh327_17,Result code of malaria treatment and referral
sh327_18,Result code of malaria treatment and referral
sh327_19,Result code of malaria treatment and referral
sh327_20,Result code of malaria treatment and referral
